edge	kappa
FlyingFox	8.567983199899585
DogFaced	7.658395694530731
edge.0	4.655715403875664
FreeTaile	4.123004888706522
LittleBro	6.06528905201547
edge.1	4.5488328477340225
TombBat	6.766508760046179
RoundEare	5.839503154853949
edge.2	5.240246510894807
edge.3	8.284832076653757
